epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.321,1.78226,3.63746,1.428,0.73027,0.61233,0.69172,0.34218,1.61036,1.57461,1.38967,0.000665542,0.000665542,0.000665542
2,390.495,1.68971,1.6716,1.3781,0.77742,0.55947,0.6544,0.3204,1.69417,1.62826,1.42633,0.00126626,0.00126626,0.00126626
3,579.498,1.66371,1.5661,1.36979,0.79926,0.61784,0.7301,0.37604,1.58394,1.45627,1.37068,0.00180099,0.00180099,0.00180099
4,768.659,1.64117,1.48833,1.36617,0.74364,0.66905,0.74492,0.38623,1.56874,1.40023,1.37629,0.001703,0.001703,0.001703
5,957.375,1.59596,1.40419,1.33865,0.77262,0.65488,0.74855,0.37184,1.59771,1.36637,1.35341,0.001604,0.001604,0.001604
6,1145.86,1.5666,1.3239,1.31834,0.82083,0.69548,0.78416,0.40899,1.53243,1.30364,1.34815,0.001505,0.001505,0.001505
7,1335.72,1.55001,1.28395,1.31188,0.8302,0.72155,0.82087,0.42657,1.52512,1.24804,1.35276,0.001406,0.001406,0.001406
8,1526.01,1.51838,1.22121,1.27985,0.83382,0.72665,0.8239,0.45073,1.45206,1.1804,1.28512,0.001307,0.001307,0.001307
9,1716.09,1.49993,1.19927,1.2847,0.78631,0.69097,0.76417,0.39957,1.51553,1.31335,1.33171,0.001208,0.001208,0.001208
10,1903.52,1.48142,1.1511,1.26892,0.86604,0.74401,0.84347,0.46169,1.48468,1.08351,1.34889,0.001109,0.001109,0.001109
11,2089.57,1.47332,1.10736,1.3022,0.88387,0.76277,0.87036,0.48507,1.4544,1.00719,1.30423,0.00101,0.00101,0.00101
12,2274.84,1.45469,1.05222,1.28963,0.86466,0.7845,0.8713,0.49363,1.45126,0.99616,1.30129,0.000911,0.000911,0.000911
13,2459.78,1.43509,1.01233,1.27816,0.8629,0.75055,0.84132,0.47476,1.4329,1.07152,1.2877,0.000812,0.000812,0.000812
14,2643.92,1.42637,0.9797,1.27235,0.88355,0.7891,0.88075,0.50571,1.42141,0.96968,1.27812,0.000713,0.000713,0.000713
15,2828.04,1.41081,0.94978,1.26137,0.87969,0.81057,0.89143,0.51788,1.40391,0.93635,1.26988,0.000614,0.000614,0.000614
16,3012.26,1.39133,0.92328,1.25531,0.88182,0.80532,0.8942,0.52294,1.39476,0.92342,1.27181,0.000515,0.000515,0.000515
17,3197.57,1.36776,0.89051,1.23869,0.89985,0.80644,0.8957,0.52622,1.39662,0.89879,1.27867,0.000416,0.000416,0.000416
18,3380.28,1.35591,0.85623,1.22985,0.89361,0.80507,0.89929,0.52684,1.4051,0.87569,1.26982,0.000317,0.000317,0.000317
19,3564.63,1.32826,0.82235,1.20872,0.89117,0.83423,0.91004,0.54185,1.37481,0.83736,1.25936,0.000218,0.000218,0.000218
20,3749.36,1.30617,0.79259,1.20274,0.90508,0.82433,0.91231,0.54364,1.37385,0.83357,1.2476,0.000119,0.000119,0.000119
